slug;modelo;largura_cm;entre_eixos_cm;potencia_w;velocidade_kmh;velocimetro;campainha;sinal_dianteira;sinal_traseira;sinal_lateral;data;obs
citycoco-king-pro-x30;Citycoco King Pro X30;;;;;;;;;;;
citycoco-slim;Citycoco Slim (bau lateral);;;;;;;;;;;
konnan-explorer-ii;Explorer II;;;;;;;;;;;
new-ebike-cappuccino;Cappuccino;;;;;;;;;;;
scooter-urbano-lime;;;;;;;;;;;;
scooter-urbano-grafite;;;;;;;;;;;;
scooter-urbano-branco-vermelho;;;;;;;;;;;;
scooter-urbano-preto-amarelo;;;;;;;;;;;;
b3-grafeno;B3;;;;;;;;;;;
shark-72v;Shark;;;;;;;;;;;
