arquivo_original,arquivo_novo,modelo,angulo,uso,observacao
fotos_editadas_estudio_instagram_parte1/01_bolin_vermelha_frente.png,citycoco-bolin/citycoco-bolin-vermelho-34-frente.png,citycoco-bolin,3/4 frente,galeria,
fotos_editadas_estudio_instagram_parte1/02_bolin_vermelha_lateral.png,citycoco-bolin/citycoco-bolin-vermelho-34-traseira.png,citycoco-bolin,3/4 traseira,galeria,
fotos_editadas_estudio_instagram_parte1/03_bolin_vermelha_traseira.png,citycoco-bolin/citycoco-bolin-preto-traseira-plaqueta.png,citycoco-bolin,traseira,compliance,"PLAQUETA AUTOPROPELIDO LEGIVEL - nome do arquivo original estava errado (diz vermelha, e preto)"
fotos_editadas_estudio_instagram_parte1/04_linha_completa.png,_nao-usar/showroom-aiwa-linha-completa.png,_nao-usar,ambiente,NAO USAR,Parede com marca AIWA IMPORTS (fornecedor)
fotos_editadas_estudio_instagram_parte1/05_ximi_pro_x30.png,citycoco-king-pro-x30/citycoco-x30-unionjack-34-traseira.png,citycoco-king-pro-x30,3/4 traseira,galeria,
fotos_editadas_estudio_instagram_parte1/06_scooter_laranja.png,citycoco-slim/citycoco-slim-laranja-lateral.png,citycoco-slim,lateral,galeria,
fotos_editadas_estudio_instagram_parte1/07_scooter_azul.png,citycoco-slim/citycoco-slim-azul-lateral.png,citycoco-slim,lateral,galeria,
fotos_editadas_estudio_instagram_parte1/08_scooter_verde_oliva.png,citycoco-slim/citycoco-slim-verde-oliva-lateral.png,citycoco-slim,lateral,galeria,
fotos_editadas_estudio_instagram_parte1/09_bicicleta_eletrica_verde.png,konnan-explorer-ii/konnan-explorer-ii-verde-34-frente.png,konnan-explorer-ii,3/4 frente,principal,Provavel EXPLORER II 750W verde - CONFIRMAR
fotos_scooters_studio_instagram/catálogo_do_scooter_elétrico_preto_e_verde.png,scooter-urbano-lime/urbano-lime-COLAGEM.png,scooter-urbano-lime,colagem,NAO USAR,Mosaico de varias fotos - inutil como imagem de produto
fotos_scooters_studio_instagram/scooter_elétrica_preta_com_acentos_neon.png,scooter-urbano-lime/urbano-lime-34-frente.png,scooter-urbano-lime,3/4 frente,principal,
fotos_scooters_studio_instagram/scooter_elétrico_moderno_em_estúdio.png,scooter-urbano-lime/urbano-lime-frente.png,scooter-urbano-lime,frente,galeria,
fotos_scooters_studio_instagram/scooter_elétrico_preto_com_baú_traseiro.png,scooter-urbano-lime/urbano-lime-traseira-plaqueta.png,scooter-urbano-lime,traseira,compliance,Plaqueta autopropelido visivel
fotos_scooters_studio_instagram/scooter_elétrico_preto_e_verde_limão.png,scooter-urbano-lime/urbano-lime-34-frente-alt.png,scooter-urbano-lime,3/4 frente,galeria,
fotos_scooters_studio_instagram/scooter_elétrico_preto_em_estúdio.png,scooter-urbano-lime/urbano-lime-lateral-HERO.png,scooter-urbano-lime,lateral pura,HERO,UNICA landscape (1448x1086) - melhor candidata a hero da LP
scooters_estudio_lote1/01_scooter_azul_union_jack_frente.png,citycoco-king-pro-x30/citycoco-x30-unionjack-34-frente.png,citycoco-king-pro-x30,3/4 frente,principal,
scooters_estudio_lote1/02_scooter_vermelho_bolin.png,citycoco-bolin/citycoco-bolin-vermelho-lateral.png,citycoco-bolin,lateral,principal,
scooters_estudio_lote1/03_scooter_preto_bolin_frente.png,citycoco-bolin/citycoco-bolin-preto-frente.png,citycoco-bolin,frente,galeria,
scooters_estudio_lote1/04_scooter_preto_bolin_traseira.png,citycoco-bolin/citycoco-bolin-preto-34-traseira.png,citycoco-bolin,3/4 traseira,galeria,
scooters_estudio_lote1/05_showroom_aiwa_imports.png,_nao-usar/showroom-aiwa-2.png,_nao-usar,ambiente,NAO USAR,Parede com marca AIWA IMPORTS (fornecedor)
scooters_estudio_lote1/06_scooter_azul_union_jack_ambiente.png,citycoco-king-pro-x30/citycoco-x30-unionjack-34-frente-alt.png,citycoco-king-pro-x30,3/4 frente,galeria,
